timestamp_ms,ax,ay,az,gx,gy,gz,label,label_name
92716,-0.1245,-0.979,0.0464,3.6621,-4.0894,11.2915,2,FastWalk
92735,-0.2383,-0.9673,0.0234,2.9907,-7.5684,12.8174,2,FastWalk
92755,-0.2231,-1.0,-0.0347,1.0376,-2.7466,13.855,2,FastWalk
92775,-0.2427,-0.9756,0.0,2.8687,-9.5825,14.2212,2,FastWalk
92795,-0.1665,-0.9604,-0.0083,4.5776,-6.4697,13.3057,2,FastWalk
92815,-0.2563,-0.9521,0.0293,5.5542,-9.2163,12.5732,2,FastWalk
92835,-0.272,-0.9541,0.0161,6.3477,-4.8218,10.0708,2,FastWalk
92855,-0.1504,-0.958,0.0469,6.6528,-4.5166,7.3853,2,FastWalk
92875,-0.2607,-0.9414,0.0635,5.9204,-7.6904,6.7749,2,FastWalk
92895,-0.2515,-0.9619,0.0327,4.3945,-4.0894,5.3711,2,FastWalk
92915,-0.2256,-0.9629,0.0498,3.2349,-4.4556,3.6011,2,FastWalk
92935,-0.2075,-0.9653,0.022,1.3428,-1.5869,2.9907,2,FastWalk
92955,-0.2427,-0.9731,0.0625,0.6104,-3.9062,2.3804,2,FastWalk
92975,-0.2817,-0.9683,0.0234,1.2207,1.2817,1.3428,2,FastWalk
92995,-0.2612,-0.9785,0.0425,1.5869,4.0894,1.4648,2,FastWalk
93015,-0.2749,-0.9741,0.04,0.8545,4.8218,1.77,2,FastWalk
93035,-0.3403,-0.9766,0.0684,-0.7935,5.3101,2.3804,2,FastWalk
93058,-0.291,-0.9863,0.0776,-4.2114,4.8218,2.6855,2,FastWalk
93077,-0.3179,-0.9648,0.0552,-7.2021,6.5918,2.6855,2,FastWalk
93097,-0.29,-0.9712,0.0332,-7.8125,11.7798,2.3804,2,FastWalk
93117,-0.2183,-0.9673,0.0225,-8.3618,13.3667,2.5024,2,FastWalk
93137,-0.2974,-0.9531,0.0723,-10.5591,11.1084,2.5024,2,FastWalk
93157,-0.2695,-0.96,0.0498,-13.5498,11.9019,2.0142,2,FastWalk
93177,-0.2568,-0.98,0.0322,-16.2964,10.8643,3.2959,2,FastWalk
93197,-0.2124,-0.9746,0.0361,-18.7988,6.2866,6.2866,2,FastWalk
93217,-0.187,-1.002,0.0801,-23.8037,-6.1646,9.0942,2,FastWalk
93237,-0.2588,-0.9604,0.0796,-31.5552,-22.522,9.6436,2,FastWalk
93257,-0.2456,-0.9297,-0.0635,-32.8369,-24.9023,8.5449,2,FastWalk
93277,-0.3442,-0.9507,-0.1348,-28.0151,-18.0664,8.3618,2,FastWalk
93297,-0.4092,-0.9561,-0.1182,-20.6909,-10.437,6.2256,2,FastWalk
93317,-0.2534,-0.9409,-0.0991,-15.0757,-4.2725,4.0894,2,FastWalk
93337,-0.3022,-0.9531,-0.0435,-13.7329,-2.8687,4.3945,2,FastWalk
93357,-0.3047,-0.9492,-0.0366,-11.0474,2.0142,3.418,2,FastWalk
93377,-0.3169,-0.9932,-0.0581,-9.9487,6.7139,3.9673,2,FastWalk
93397,-0.3296,-1.0024,-0.0039,-8.667,10.5591,4.6997,2,FastWalk
93417,-0.311,-1.0225,0.0239,-7.5684,16.2964,6.8359,2,FastWalk
93437,-0.2456,-1.1016,0.0361,-8.728,25.7568,13.3057,2,FastWalk
93457,-0.144,-1.1387,0.1357,-10.0708,34.668,21.4233,2,FastWalk
93477,-0.1143,-1.1626,0.2397,-9.2773,37.5366,30.9448,2,FastWalk
93497,-0.083,-1.1895,0.2222,-7.6904,24.1089,37.1094,2,FastWalk
93517,-0.1582,-1.1865,0.3677,2.1362,1.709,43.2739,2,FastWalk
93537,0.1143,-1.2632,0.2705,14.7095,2.0752,39.3066,2,FastWalk
93558,0.0391,-1.144,0.0713,19.8975,-46.6919,33.6914,2,FastWalk
93578,0.1177,-1.0596,0.0347,20.1416,-71.8994,26.3062,2,FastWalk
93598,0.1509,-1.0117,0.0244,18.4937,-89.6606,17.4561,2,FastWalk
93618,0.1099,-0.9932,0.0015,13.2446,-104.3091,3.418,2,FastWalk
