timestamp_ms,ax,ay,az,gx,gy,gz,label,label_name
0,-0.4888,-0.8477,0.1245,1.4648,-14.8315,-7.5073,7,FoG
1,-0.5068,-0.8384,0.127,3.6621,6.0425,-5.3101,7,FoG
2,-0.2964,-0.8696,0.1943,14.4043,33.9966,-10.1929,7,FoG
3,-0.1479,-0.9473,0.251,22.1558,44.1284,-14.8315,7,FoG
4,-0.1416,-1.0454,0.2339,28.7476,56.5186,-19.8975,7,FoG
5,-0.2529,-1.1274,0.0854,26.6113,61.4014,-17.2729,7,FoG
6,-0.3247,-1.0835,0.105,19.4092,40.5884,-7.6904,7,FoG
7,-0.2422,-0.9795,0.1133,13.6108,21.1792,-1.5259,7,FoG
8,-0.1748,-0.96,0.0884,12.146,11.4746,1.3428,7,FoG
9,-0.2925,-0.9326,0.1304,12.2681,14.2822,1.2207,7,FoG
10,-0.2959,-0.9438,0.1895,12.9395,19.2261,1.4648,7,FoG
11,-0.2051,-0.9741,0.2061,11.6577,17.2119,3.6011,7,FoG
12,-0.1602,-0.9526,0.2256,9.0332,6.4697,4.4556,7,FoG
13,-0.2754,-0.9438,0.2139,6.3477,0.3052,6.0425,7,FoG
14,-0.3057,-0.9292,0.1733,7.6904,5.4932,4.5166,7,FoG
15,-0.2378,-0.9434,0.166,8.9111,6.5918,3.9062,7,FoG
16,-0.2451,-0.9473,0.1631,8.1177,1.77,4.6997,7,FoG
17,-0.2744,-0.9551,0.1655,7.019,-1.4038,4.6387,7,FoG
18,-0.2725,-0.9385,0.2041,6.4087,-3.6011,4.1504,7,FoG
19,-0.272,-0.9253,0.2207,7.3242,-0.7935,3.7231,7,FoG
20,-0.2637,-0.9458,0.1992,7.6904,1.0376,4.0283,7,FoG
21,-0.2515,-0.9458,0.188,6.5308,-2.5024,4.6997,7,FoG
22,-0.2739,-0.9492,0.1943,5.6763,-4.9438,5.188,7,FoG
23,-0.2856,-0.9268,0.1855,6.6528,-2.5024,4.2725,7,FoG
24,-0.2607,-0.9502,0.1968,7.019,-2.5635,4.7607,7,FoG
25,-0.2793,-0.9233,0.2202,7.019,-4.7607,4.2725,7,FoG
26,-0.2959,-0.918,0.207,8.4229,-1.3428,2.9297,7,FoG
27,-0.2568,-0.937,0.1802,9.5825,-1.5259,2.4414,7,FoG
28,-0.2554,-0.9404,0.2051,8.606,-7.2021,2.8076,7,FoG
29,-0.2788,-0.9458,0.229,7.1411,-10.8032,2.8687,7,FoG
30,-0.2871,-0.9199,0.2642,5.8594,-10.5591,2.3804,7,FoG
31,-0.2847,-0.9268,0.2422,4.7607,-8.728,1.77,7,FoG
32,-0.2637,-0.9375,0.2349,3.6621,-9.5215,1.4038,7,FoG
33,-0.2769,-0.9365,0.2373,2.0142,-13.855,1.4038,7,FoG
34,-0.2939,-0.9336,0.2461,1.3428,-14.0991,1.709,7,FoG
35,-0.2808,-0.9429,0.2505,0.6104,-12.5122,1.4648,7,FoG
36,-0.2856,-0.9189,0.2539,-0.9766,-12.7563,0.5493,7,FoG
37,-0.3188,-0.9302,0.2271,-1.3428,-12.4512,-1.2207,7,FoG
38,-0.3066,-0.9473,0.2163,-0.9155,-9.3994,-3.1738,7,FoG
39,-0.2671,-0.9292,0.2432,-1.1597,-10.1318,-4.6997,7,FoG
40,-0.3091,-0.9229,0.2368,-1.0376,-9.5215,-6.1646,7,FoG
41,-0.2852,-0.9429,0.2227,-0.3052,-5.3101,-7.4463,7,FoG
42,-0.2476,-0.9341,0.2407,-0.9155,-7.5684,-7.5073,7,FoG
43,-0.2627,-0.9287,0.2563,-1.9531,-9.6436,-6.2256,7,FoG
44,-0.2446,-0.9453,0.2422,-2.8076,-7.8735,-5.5542,7,FoG
45,-0.2046,-0.9512,0.2529,-4.7607,-10.6201,-2.4414,7,FoG
46,-0.2417,-0.9429,0.2539,-7.3853,-14.5874,0.1831,7,FoG
47,-0.252,-0.9238,0.2393,-7.5073,-12.3901,1.77,7,FoG
48,-0.2314,-0.9409,0.2388,-8.0566,-12.3901,3.9062,7,FoG
49,-0.2505,-0.9414,0.2402,-8.1787,-12.207,5.3101,7,FoG
50,-0.272,-0.9336,0.2451,-8.4839,-9.8267,5.127,7,FoG
51,-0.2427,-0.939,0.2495,-8.4839,-6.958,4.8218,7,FoG
52,-0.2456,-0.9453,0.2437,-10.8032,-9.3384,6.0425,7,FoG
53,-0.2568,-0.9292,0.2393,-12.4512,-10.5591,6.1035,7,FoG
54,-0.2476,-0.959,0.2495,-15.1367,-14.0991,6.897,7,FoG
55,-0.2686,-0.9619,0.2568,-19.7754,-20.9961,6.5918,7,FoG
56,-0.312,-0.9639,0.1919,-23.0103,-17.334,5.9204,7,FoG
57,-0.2627,-0.9478,0.1787,-21.9727,-15.1978,2.7466,7,FoG
58,-0.2573,-0.9692,0.1636,-21.5454,-20.6299,0.4883,7,FoG
59,-0.2368,-0.959,0.1636,-22.522,-24.6582,1.8921,7,FoG
60,-0.2397,-0.9746,0.2119,-24.9023,-25.6348,8.5449,7,FoG
61,-0.2651,-0.9561,0.2432,-28.0151,-20.2026,13.4888,7,FoG
62,-0.29,-0.9473,0.2061,-27.9541,-12.9395,18.0054,7,FoG
63,-0.3066,-0.9878,0.1792,-28.5645,-4.9438,24.5972,7,FoG
64,-0.2896,-0.9785,0.1836,-29.8462,-5.249,29.2358,7,FoG
65,-0.2607,-0.9619,0.2017,-31.1279,-13.7939,33.3862,7,FoG
66,-0.2358,-0.978,0.1992,-32.0435,-20.3857,36.1328,7,FoG
67,-0.2524,-0.9834,0.1792,-34.6069,-29.3579,36.5601,7,FoG
