timestamp_ms,ax,ay,az,gx,gy,gz,label,label_name
43904,-0.2886,-0.9473,-0.0449,1.3428,0.2441,-0.5493,4,SitStand
43923,-0.2891,-0.9458,-0.0439,1.0986,0.4272,-1.1597,4,SitStand
43943,-0.2876,-0.9531,-0.0513,1.4038,1.7090,-1.4648,4,SitStand
43963,-0.2798,-0.9448,-0.0625,1.8921,2.2583,-1.8311,4,SitStand
43983,-0.2798,-0.9492,-0.0454,1.9531,2.2583,-1.8311,4,SitStand
44003,-0.2900,-0.9570,-0.0493,1.6479,2.9297,-1.7090,4,SitStand
44026,-0.2793,-0.9497,-0.0693,2.2583,4.8828,-1.7700,4,SitStand
44046,-0.2705,-0.9531,-0.0591,2.4414,4.2114,-1.3428,4,SitStand
44066,-0.2710,-0.9497,-0.0396,1.3428,0.0000,-2.2583,4,SitStand
44086,-0.2822,-0.9521,-0.0420,1.2207,-0.6104,-2.5635,4,SitStand
44106,-0.2754,-0.9521,-0.0474,0.9766,-0.6714,-2.8076,4,SitStand
44126,-0.2729,-0.9521,-0.0474,0.9155,-0.4883,-2.3804,4,SitStand
44146,-0.2739,-0.9570,-0.0522,1.1597,0.1221,-1.4038,4,SitStand
44166,-0.2759,-0.9502,-0.0518,1.3428,0.4883,-1.4038,4,SitStand
44186,-0.2788,-0.9502,-0.0396,0.9766,-1.1597,-1.4038,4,SitStand
44206,-0.2764,-0.9521,-0.0376,0.4883,-2.7466,-2.0752,4,SitStand
44226,-0.2827,-0.9580,-0.0415,0.1221,-3.3569,-3.1128,4,SitStand
44246,-0.2739,-0.9536,-0.0430,-0.0610,-3.1738,-3.2349,4,SitStand
44266,-0.2627,-0.9565,-0.0479,-0.2441,-3.5400,-3.3569,4,SitStand
44286,-0.2612,-0.9497,-0.0361,-0.0610,-5.7983,-3.9062,4,SitStand
44306,-0.2681,-0.9526,-0.0269,0.1221,-8.3618,-4.9438,4,SitStand
44326,-0.2876,-0.9512,-0.0479,0.0000,-9.5825,-5.4932,4,SitStand
44346,-0.3047,-0.9678,-0.0806,0.0610,-6.5308,-5.4932,4,SitStand
44366,-0.2808,-0.9502,-0.0601,0.7935,-5.2490,-6.7749,4,SitStand
44386,-0.2734,-0.9521,-0.0225,0.4272,-5.9204,-8.7891,4,SitStand
44406,-0.2710,-0.9565,-0.0283,0.8545,-4.2725,-9.4604,4,SitStand
44426,-0.2681,-0.9521,-0.0479,1.8311,-2.6855,-9.8267,4,SitStand
44446,-0.2637,-0.9517,-0.0557,2.7466,-1.7090,-10.1929,4,SitStand
44466,-0.2593,-0.9561,-0.0444,3.1738,-1.2207,-10.8643,4,SitStand
44486,-0.2568,-0.9707,-0.0542,4.1504,2.6855,-10.1318,4,SitStand
44506,-0.2407,-0.9609,-0.0601,5.3711,5.9204,-10.1929,4,SitStand
44526,-0.2402,-0.9526,-0.0435,5.7373,6.1035,-9.3994,4,SitStand
44546,-0.2412,-0.9688,-0.0220,6.4697,7.6904,-8.3008,4,SitStand
44566,-0.1895,-1.0015,-0.0386,8.7891,14.3433,-5.6763,4,SitStand
44586,-0.2192,-0.9766,-0.0361,8.0566,11.0474,-7.9956,4,SitStand
44606,-0.2739,-0.9829,0.0059,7.9346,10.4370,-8.1177,4,SitStand
44626,-0.2339,-1.0000,0.0112,10.0708,14.0381,-9.5215,4,SitStand
44646,-0.2373,-0.9976,0.0146,10.8032,11.4746,-9.9487,4,SitStand
44666,-0.2417,-1.0034,0.0024,13.0005,12.2681,-11.4746,4,SitStand
44686,-0.2148,-0.9907,-0.0049,15.9912,11.6577,-13.9771,4,SitStand
44706,-0.2349,-0.9600,0.0269,17.5781,11.4136,-16.1743,4,SitStand
44726,-0.2134,-0.9370,0.0723,23.0713,15.7471,-16.7236,4,SitStand
44746,-0.1958,-0.9360,0.0254,24.8413,13.0615,-13.6108,4,SitStand
44766,-0.1948,-0.9478,-0.0176,24.9023,7.5684,-11.9019,4,SitStand
