timestamp_ms,ax,ay,az,gx,gy,gz,label,label_name
29693,-0.2119,-0.9575,0.186,0.1221,0.4883,-0.4272,5,Stairs
29713,-0.2158,-0.9702,0.1851,0.061,0.4883,-0.2441,5,Stairs
29733,-0.2148,-0.957,0.1792,0.061,0.3052,-0.4272,5,Stairs
29753,-0.2148,-0.9497,0.1831,-0.061,0.1221,-0.5493,5,Stairs
29773,-0.2129,-0.9556,0.1846,-0.1831,0.1831,-0.4883,5,Stairs
29793,-0.2148,-0.9585,0.186,-0.3052,0.3052,-0.3662,5,Stairs
29813,-0.2178,-0.957,0.1821,-0.3052,0.4883,-0.6104,5,Stairs
29833,-0.2158,-0.9556,0.186,-0.3052,0.4272,-0.9155,5,Stairs
29853,-0.2153,-0.957,0.1836,-0.5493,0.3052,-0.9155,5,Stairs
29873,-0.2129,-0.9565,0.1841,-0.6104,0.3052,-1.2207,5,Stairs
29893,-0.2144,-0.957,0.1831,-0.6714,0.4883,-1.3428,5,Stairs
29913,-0.2119,-0.9546,0.1851,-0.8545,-0.1221,-1.4038,5,Stairs
29933,-0.2148,-0.9585,0.1802,-0.8545,0.061,-1.3428,5,Stairs
29953,-0.2119,-0.9595,0.1792,-0.6104,0.5493,-1.709,5,Stairs
29973,-0.21,-0.9565,0.1777,-0.3662,0.9155,-1.5259,5,Stairs
29993,-0.207,-0.9556,0.1787,-0.3052,0.6714,-1.4038,5,Stairs
30013,-0.208,-0.9604,0.1782,-0.1221,0.3662,-1.0986,5,Stairs
30033,-0.2109,-0.9575,0.1802,0.061,-0.061,-0.9155,5,Stairs
30053,-0.208,-0.9595,0.1802,-0.061,0.3052,-0.6104,5,Stairs
30073,-0.2104,-0.9614,0.1802,0.061,0.061,-0.1221,5,Stairs
30093,-0.2124,-0.9575,0.1763,0.061,0.3052,0.1221,5,Stairs
30113,-0.2134,-0.9585,0.1758,0.2441,0.6714,0.4883,5,Stairs
30133,-0.2104,-0.9585,0.1792,0.3662,0.6104,0.7935,5,Stairs
30153,-0.2134,-0.957,0.1792,0.4883,0.6714,0.9766,5,Stairs
30173,-0.2109,-0.9604,0.1782,0.7324,0.5493,1.1597,5,Stairs
30193,-0.2134,-0.9585,0.1816,0.8545,0.4272,1.1597,5,Stairs
30213,-0.2144,-0.959,0.1777,1.0986,0.4883,1.1597,5,Stairs
30233,-0.2114,-0.9536,0.1758,1.0376,0.1831,1.3428,5,Stairs
30253,-0.2158,-0.9575,0.1782,1.0376,0.1221,1.4038,5,Stairs
30273,-0.2197,-0.9575,0.1807,0.9155,0.4272,1.2207,5,Stairs
30293,-0.2173,-0.957,0.1831,0.8545,0.4883,1.2207,5,Stairs
30313,-0.2187,-0.9575,0.1841,0.6714,0.4272,1.0986,5,Stairs
30333,-0.2187,-0.9575,0.1816,0.5493,0.2441,0.9155,5,Stairs
30353,-0.2197,-0.9536,0.1807,0.4272,0.5493,0.7324,5,Stairs
30373,-0.2178,-0.959,0.1812,0.3662,0.5493,0.5493,5,Stairs
30393,-0.2197,-0.9575,0.1792,0.2441,0.5493,0.4272,5,Stairs
30413,-0.2222,-0.9565,0.1777,0.1221,0.2441,0.1831,5,Stairs
30433,-0.2207,-0.9526,0.1782,0.1831,0.3052,0.0,5,Stairs
30453,-0.2217,-0.9644,0.1812,-0.1831,-0.2441,-0.1831,5,Stairs
30473,-0.2241,-0.9526,0.1816,-0.4883,-0.4272,-0.6104,5,Stairs
30493,-0.2256,-0.9512,0.1802,-0.6104,0.0,-0.9766,5,Stairs
30513,-0.2231,-0.9531,0.1855,-0.6104,0.4883,-1.5259,5,Stairs
30533,-0.2207,-0.9648,0.1782,-0.6714,0.7324,-1.8921,5,Stairs
30553,-0.2241,-0.9536,0.1704,-0.3662,1.1597,-2.3193,5,Stairs
30573,-0.2207,-0.9521,0.1733,-0.061,1.5259,-2.6855,5,Stairs
30593,-0.2139,-0.9619,0.1743,0.3052,0.7935,-2.5635,5,Stairs
30613,-0.2158,-0.9663,0.1753,0.5493,0.2441,-2.3804,5,Stairs
30633,-0.2178,-0.9575,0.1704,0.7935,0.2441,-2.0752,5,Stairs
30653,-0.2119,-0.9561,0.1719,0.9766,0.4883,-1.4648,5,Stairs
30673,-0.2104,-0.9629,0.1792,0.9766,0.2441,-0.9155,5,Stairs
30693,-0.2119,-0.958,0.1807,0.9155,0.3052,-0.2441,5,Stairs
30713,-0.2144,-0.9546,0.1782,0.8545,0.4883,0.4272,5,Stairs
30733,-0.2144,-0.9629,0.1772,0.6714,0.6104,0.8545,5,Stairs
30753,-0.2197,-0.9639,0.1802,0.2441,-0.4883,0.6714,5,Stairs
30773,-0.2236,-0.9482,0.1768,0.1221,0.3052,0.2441,5,Stairs
30793,-0.2236,-0.9521,0.1792,0.061,0.7935,-0.7324,5,Stairs
30813,-0.2227,-0.9595,0.1772,0.061,0.8545,-1.5259,5,Stairs
30833,-0.2207,-0.9536,0.1753,0.1221,0.4272,-2.3193,5,Stairs
30853,-0.2241,-0.9556,0.1758,0.3052,0.6104,-3.1738,5,Stairs
30873,-0.2231,-0.96,0.1748,0.7324,1.4038,-3.7231,5,Stairs
30893,-0.2168,-0.9604,0.1709,1.2817,1.77,-4.2114,5,Stairs
30913,-0.2095,-0.9526,0.1733,1.6479,1.2817,-4.2725,5,Stairs
30933,-0.2095,-0.9561,0.1763,2.0752,0.4883,-4.3945,5,Stairs
30953,-0.2114,-0.9629,0.1733,2.5635,0.5493,-4.2114,5,Stairs
30973,-0.2104,-0.9653,0.1724,2.6855,0.6104,-3.8452,5,Stairs
30993,-0.2036,-0.957,0.1797,2.6245,0.1831,-3.479,5,Stairs
31013,-0.2021,-0.959,0.1851,2.5024,-0.4272,-2.9297,5,Stairs
31033,-0.2065,-0.959,0.187,2.2583,-0.3662,-2.6855,5,Stairs
31053,-0.2051,-0.9614,0.1899,1.8921,0.1221,-2.6245,5,Stairs
31073,-0.2017,-0.9629,0.1875,1.4648,0.4883,-2.2583,5,Stairs
31093,-0.2017,-0.9575,0.1899,1.0376,0.4883,-2.1973,5,Stairs
31113,-0.2021,-0.9604,0.1841,0.8545,0.8545,-2.0142,5,Stairs
31133,-0.2012,-0.9619,0.1851,0.4883,0.7324,-1.5259,5,Stairs
31153,-0.2007,-0.958,0.1865,0.3052,0.4272,-1.3428,5,Stairs
31173,-0.1982,-0.9585,0.1826,0.0,0.2441,-0.7324,5,Stairs
31193,-0.1997,-0.9604,0.1851,-0.061,0.2441,-0.5493,5,Stairs
31213,-0.1992,-0.9648,0.1826,0.0,0.4883,-0.1221,5,Stairs
31233,-0.2026,-0.9585,0.1841,-0.2441,0.1831,0.4272,5,Stairs
31253,-0.2051,-0.9595,0.1816,0.061,0.3662,0.9155,5,Stairs
31273,-0.2026,-0.9624,0.1807,0.0,0.6714,1.1597,5,Stairs
31293,-0.2031,-0.9595,0.1797,0.1221,0.5493,1.5259,5,Stairs
31313,-0.2061,-0.9595,0.1846,0.4272,0.4272,1.77,5,Stairs
