timestamp_ms,ax,ay,az,gx,gy,gz,label,label_name
28583,-0.1797,-0.9927,0.0386,6.1646,5.0049,-6.2256,0,Stand
28603,-0.1582,-0.9897,0.0220,6.4697,4.0283,-5.3711,0,Stand
28623,-0.1738,-0.9922,0.0283,6.5308,1.8921,-4.8218,0,Stand
28643,-0.1958,-0.9614,0.0664,6.5918,1.0376,-4.4556,0,Stand
28663,-0.1694,-0.9688,0.0977,7.5684,3.6621,-3.8452,0,Stand
28683,-0.1514,-0.9858,0.0884,8.4839,5.3101,-2.9907,0,Stand
28703,-0.1616,-0.9844,0.0596,8.9111,3.2959,-1.5869,0,Stand
28723,-0.1743,-0.9785,0.0503,8.7280,1.0986,0.1221,0,Stand
28743,-0.1494,-0.9751,0.0464,9.0942,1.0986,0.7935,0,Stand
28763,-0.1758,-0.9854,0.0449,9.4604,-1.2817,2.4414,0,Stand
28783,-0.1484,-0.9902,0.0674,9.2773,-3.1738,4.5166,0,Stand
28803,-0.1689,-0.9761,0.1182,9.7656,-3.4180,5.9204,0,Stand
28823,-0.2046,-0.9648,0.1362,10.0098,-1.1597,6.5308,0,Stand
28843,-0.1826,-0.9673,0.1074,10.3149,2.1973,7.1411,0,Stand
28863,-0.1572,-0.9814,0.0923,10.2539,2.1362,7.7515,0,Stand
28883,-0.2012,-0.9673,0.1006,10.5591,-3.2959,7.8125,0,Stand
28903,-0.1987,-0.9663,0.0918,10.6201,-1.2817,6.6528,0,Stand
28929,-0.1904,-0.9839,0.0894,10.2539,-3.1128,6.4697,0,Stand
28949,-0.2187,-0.9668,0.1152,10.3760,-3.9673,5.2490,0,Stand
28969,-0.2466,-0.9502,0.1187,10.7422,-1.6479,2.0142,0,Stand
28989,-0.1943,-0.9604,0.1094,10.8643,1.6479,0.0610,0,Stand
29009,-0.1997,-0.9658,0.1357,11.8408,-2.8687,-1.5259,0,Stand
29029,-0.2266,-0.9668,0.1128,13.7939,-1.0986,-4.3945,0,Stand
29049,-0.2046,-0.9692,0.0991,14.2822,1.4648,-4.4556,0,Stand
29069,-0.1528,-0.9712,0.1670,11.9629,-1.0376,-2.0752,0,Stand
29089,-0.1660,-0.9536,0.1831,10.5591,-4.6387,0.5493,0,Stand
29109,-0.1616,-0.9785,0.1670,8.8501,-3.8452,3.8452,0,Stand
29129,-0.1689,-0.9575,0.1548,7.6904,-5.2490,8.0566,0,Stand
29149,-0.1816,-0.9834,0.1333,6.7749,-7.1411,10.9253,0,Stand
29169,-0.2012,-0.9766,0.1392,5.3101,-9.6436,14.7095,0,Stand
29189,-0.2168,-0.9854,0.1553,3.2349,-9.3994,16.0522,0,Stand
29209,-0.2471,-0.9380,0.1973,2.1973,-10.9253,13.4277,0,Stand
29229,-0.2354,-0.9644,0.1572,1.4648,-5.6152,11.0474,0,Stand
29249,-0.2080,-0.9521,0.1567,2.7466,-6.6528,6.6528,0,Stand
29269,-0.2397,-0.9414,0.1621,1.4038,-14.0991,3.1128,0,Stand
29289,-0.2476,-0.9575,0.1528,0.5493,-10.9253,3.5400,0,Stand
29309,-0.2026,-0.9741,0.1538,-1.6479,-15.6250,-0.0610,0,Stand
29329,-0.2578,-0.9331,0.1748,-2.0142,-24.3530,-4.3335,0,Stand
29349,-0.2427,-0.9565,0.1353,-0.8545,-11.3525,-3.4180,0,Stand
29369,-0.2305,-0.9502,0.1572,0.4883,-8.8501,-2.5024,0,Stand
29389,-0.2251,-0.9614,0.1685,0.6714,-5.7983,-1.7700,0,Stand
29409,-0.2090,-0.9556,0.1782,0.5493,-5.8594,-0.9766,0,Stand
29430,-0.2402,-0.9492,0.1528,1.4038,-2.3804,-1.8921,0,Stand
29450,-0.2427,-0.9600,0.1357,2.5024,-1.0986,-2.9297,0,Stand
29470,-0.2129,-0.9663,0.1426,2.0752,-0.6714,-3.4180,0,Stand
29490,-0.2065,-0.9639,0.1851,1.1597,-4.1504,-2.5024,0,Stand
29510,-0.2358,-0.9502,0.2021,0.1831,-1.8921,-3.3569,0,Stand
29530,-0.2231,-0.9800,0.1538,-0.7935,2.1362,-4.2114,0,Stand
29550,-0.1899,-0.9614,0.1777,-2.0142,-0.3662,-4.1504,0,Stand
29570,-0.2285,-0.9463,0.1797,-2.3804,-3.1738,-4.9438,0,Stand
29590,-0.2134,-0.9575,0.1689,-2.5024,-2.2583,-6.0425,0,Stand
29610,-0.2285,-0.9419,0.1567,-0.1831,1.2817,-7.5073,0,Stand
29630,-0.2139,-0.9492,0.1494,1.4648,3.3569,-8.9111,0,Stand
29650,-0.2139,-0.9614,0.1348,2.8076,4.7607,-10.5591,0,Stand
29670,-0.2080,-0.9756,0.1304,2.6855,1.6479,-13.4888,0,Stand
29690,-0.1855,-0.9609,0.1724,2.3804,0.9155,-12.6343,0,Stand
29710,-0.1689,-0.9683,0.1763,1.8311,2.3193,-11.5356,0,Stand
29730,-0.1899,-0.9595,0.1924,1.1597,4.0894,-10.1929,0,Stand
29750,-0.1572,-0.9741,0.1704,-0.0610,7.0190,-7.8125,0,Stand
29770,-0.1685,-0.9600,0.1855,-0.4272,7.3853,-5.0659,0,Stand
29790,-0.1548,-0.9731,0.1665,-1.4038,7.1411,-3.5400,0,Stand
29810,-0.1860,-0.9556,0.1738,-1.5259,3.8452,-3.9673,0,Stand
29830,-0.1807,-0.9673,0.1431,-0.7935,5.6152,-4.9438,0,Stand
29850,-0.1689,-0.9663,0.1426,-0.4883,3.2349,-5.6152,0,Stand
29870,-0.1753,-0.9653,0.1553,-0.3052,1.0376,-6.1646,0,Stand
29890,-0.1899,-0.9624,0.1641,-0.1831,1.9531,-6.8970,0,Stand
29910,-0.1885,-0.9634,0.1646,0.0610,4.2725,-8.4229,0,Stand
29931,-0.1606,-0.9727,0.1611,-0.1221,4.3945,-10.1929,0,Stand
29951,-0.1660,-0.9673,0.1719,-0.2441,1.7700,-11.7798,0,Stand
29971,-0.1626,-0.9639,0.1631,-0.1831,3.1738,-11.8408,0,Stand
29991,-0.1514,-0.9795,0.1440,-0.1221,3.1738,-11.8408,0,Stand
30011,-0.1338,-0.9692,0.1650,-0.4883,1.7700,-10.6201,0,Stand
30031,-0.1426,-0.9785,0.1616,-0.8545,2.7466,-7.9956,0,Stand
30051,-0.1475,-0.9761,0.1606,-1.4038,5.3101,-5.9204,0,Stand
30071,-0.1265,-0.9712,0.1665,-1.8311,6.1646,-3.9673,0,Stand
30091,-0.1348,-0.9785,0.1621,-2.1973,5.0659,-2.5635,0,Stand
30111,-0.1523,-0.9688,0.1616,-2.0752,6.0425,-1.7700,0,Stand
30131,-0.1519,-0.9629,0.1616,-1.6479,9.7046,-1.0986,0,Stand
30151,-0.1494,-0.9741,0.1436,-1.4648,12.6953,-0.1831,0,Stand
30171,-0.1548,-0.9619,0.1274,-0.9766,13.7329,0.0000,0,Stand
30191,-0.1392,-0.9766,0.1216,-0.8545,9.0332,-3.2959,0,Stand
30211,-0.1392,-0.9736,0.1255,-0.7324,2.8687,-6.1035,0,Stand
30231,-0.1440,-0.9800,0.1289,-0.6104,0.0610,-6.9580,0,Stand
30251,-0.1465,-0.9712,0.1597,-0.5493,0.3052,-7.3853,0,Stand
30271,-0.1367,-0.9624,0.1714,-0.8545,1.8311,-7.2021,0,Stand
30291,-0.1362,-0.9824,0.1562,-1.4648,3.6621,-6.1035,0,Stand
30311,-0.1377,-0.9741,0.1494,-1.5869,6.8359,-4.7607,0,Stand
30331,-0.1221,-0.9722,0.1646,-1.6479,8.4229,-3.1738,0,Stand
30351,-0.1313,-0.9722,0.1504,-1.4038,8.7891,-2.7466,0,Stand
30371,-0.1318,-0.9790,0.1416,-1.4038,9.4604,-2.9907,0,Stand
30391,-0.1226,-0.9746,0.1519,-1.4038,8.9111,-3.2959,0,Stand
30411,-0.1123,-0.9805,0.1421,-1.5869,5.9204,-3.2959,0,Stand
30432,-0.1255,-0.9683,0.1372,-1.1597,4.0283,-3.2349,0,Stand
30452,-0.1270,-0.9780,0.1294,-1.2817,2.5635,-3.2959,0,Stand
30472,-0.1348,-0.9741,0.1226,-0.6714,0.7324,-3.7231,0,Stand
30492,-0.1382,-0.9814,0.1074,-0.1831,1.3428,-4.3335,0,Stand
30512,-0.1440,-0.9858,0.1128,-0.4272,2.2583,-5.0659,0,Stand
30532,-0.1196,-0.9741,0.1406,0.1831,3.1738,-5.5542,0,Stand
30552,-0.1162,-0.9741,0.1191,0.1221,1.0986,-6.7749,0,Stand
30572,-0.1147,-0.9795,0.1318,-1.0376,-2.3804,-6.5308,0,Stand
30592,-0.1094,-0.9814,0.1533,-1.3428,-3.2959,-6.9580,0,Stand
30612,-0.1060,-0.9810,0.1514,-1.1597,-5.3711,-9.3384,0,Stand
30632,-0.1025,-0.9868,0.1191,-1.5869,-7.1411,-9.6436,0,Stand
30652,-0.1104,-0.9844,0.1304,-1.2817,-7.8125,-8.1177,0,Stand
30672,-0.0972,-0.9819,0.1333,-0.1221,-5.3101,-6.9580,0,Stand
30692,-0.0962,-0.9790,0.1270,0.4272,-3.6621,-4.3945,0,Stand
30712,-0.0869,-0.9873,0.1299,-0.1221,-4.5166,-2.3804,0,Stand
30732,-0.0889,-0.9849,0.1401,-0.6104,-5.7983,-0.3052,0,Stand
30752,-0.1006,-0.9854,0.1309,-0.6104,-3.1738,1.2817,0,Stand
30772,-0.1099,-0.9878,0.1284,-1.4038,-2.6245,2.5024,0,Stand
30792,-0.0972,-0.9873,0.1489,-2.8076,-2.0142,3.6621,0,Stand
30812,-0.0918,-0.9849,0.1572,-4.3945,-1.7090,5.5542,0,Stand
30832,-0.0981,-0.9810,0.1553,-5.4932,-1.4038,7.1411,0,Stand
30852,-0.1021,-0.9775,0.1509,-6.5308,-0.4883,9.0942,0,Stand
30872,-0.1104,-0.9854,0.1333,-7.3242,1.0376,10.9253,0,Stand
30892,-0.1240,-0.9844,0.1138,-7.6294,3.3569,12.6953,0,Stand
30912,-0.1221,-0.9854,0.1128,-7.7515,6.2866,14.7705,0,Stand
30933,-0.1118,-0.9810,0.1099,-8.0566,6.7749,16.4795,0,Stand
30953,-0.1235,-0.9785,0.1050,-7.9956,5.1270,18.7378,0,Stand
30973,-0.1060,-0.9868,0.1094,-8.2397,3.7842,20.0806,0,Stand
30993,-0.1558,-0.9810,0.0977,-8.5449,1.6479,20.9961,0,Stand
31013,-0.1572,-0.9844,0.1021,-9.2163,3.1128,21.4233,0,Stand
31033,-0.1460,-0.9814,0.1104,-9.8267,3.1738,21.8506,0,Stand
31053,-0.1553,-0.9858,0.1143,-11.4746,2.3193,22.9492,0,Stand
31073,-0.1416,-0.9814,0.1177,-12.6953,1.1597,23.0103,0,Stand
31093,-0.1992,-0.9712,0.1152,-13.7939,-0.7935,22.8271,0,Stand
31113,-0.1919,-0.9658,0.0967,-14.7095,-0.4883,21.8506,0,Stand
31133,-0.2183,-0.9619,0.0732,-14.7705,-1.9531,20.8130,0,Stand
31153,-0.2344,-0.9683,0.0601,-14.7095,-2.6245,19.5313,0,Stand
31173,-0.2432,-0.9546,0.0464,-12.5122,-2.0752,18.3105,0,Stand
31193,-0.2412,-0.9668,0.0190,-9.3994,-6.2866,11.4746,0,Stand
31213,-0.2432,-0.9521,0.0088,-6.3477,-6.7749,11.5356,0,Stand
31233,-0.2119,-1.0059,0.0303,-4.2114,-2.9907,17.5171,0,Stand
31253,-0.1792,-1.0122,0.0332,-1.2817,-6.3477,15.1978,0,Stand
31273,-0.2695,-0.9517,-0.0015,-1.1597,-10.4980,15.6250,0,Stand
31293,-0.2949,-0.9673,0.0371,-2.5024,-0.3052,23.8647,0,Stand
31313,-0.2983,-0.9634,0.0830,-2.9297,5.7983,28.1372,0,Stand
31333,-0.3091,-0.9429,0.1094,-1.1597,16.2964,27.8931,0,Stand
31353,-0.2900,-0.9463,0.0693,-1.0986,16.9678,23.9868,0,Stand
31373,-0.4038,-0.9346,0.0571,-2.7466,6.7749,20.7520,0,Stand
31393,-0.3647,-0.9316,0.0605,-5.0659,5.4321,17.1509,0,Stand
31413,-0.3140,-0.9072,0.0439,-6.7749,6.1035,13.4888,0,Stand
31434,-0.2646,-0.9014,0.0557,-5.7983,6.9580,7.9956,0,Stand
31454,-0.2305,-0.9111,0.0869,-2.9907,6.7749,2.5024,0,Stand
31474,-0.1772,-0.9307,0.0869,-1.4648,5.7983,-1.0376,0,Stand
31494,-0.1978,-0.9238,0.0645,-2.3804,-5.2490,-4.4556,0,Stand
