timestamp_ms,ax,ay,az,gx,gy,gz,label,label_name
28513,-0.2456,-0.9648,0.1143,-1.2207,-0.9766,19.6533,1,Walk
28532,-0.2886,-0.9692,0.0898,-0.6714,-0.5493,20.9961,1,Walk
28552,-0.2871,-0.9595,0.1074,-1.1597,-2.3193,19.7754,1,Walk
28572,-0.2871,-0.9189,0.1436,-4.2114,-6.8970,18.3716,1,Walk
28592,-0.3208,-0.9165,0.1455,-4.5776,-3.4790,20.9351,1,Walk
28612,-0.2939,-0.9702,0.1094,-4.0283,-1.2207,22.1558,1,Walk
28632,-0.2964,-0.9810,0.0962,-2.6245,2.0752,24.7803,1,Walk
28652,-0.3433,-0.9189,0.0791,-1.2207,2.8687,25.2075,1,Walk
28672,-0.3389,-0.9175,0.1108,-2.3193,-1.7090,23.6206,1,Walk
28692,-0.3398,-0.9341,0.1367,-3.1738,-1.6479,24.3530,1,Walk
28712,-0.3560,-0.9600,0.1328,-2.9907,-0.4272,26.7944,1,Walk
28732,-0.3511,-0.9541,0.1143,-2.1973,1.8311,27.4658,1,Walk
28752,-0.3735,-0.9141,0.0923,-2.1973,2.0142,27.8931,1,Walk
28772,-0.3584,-0.9321,0.1328,-2.9907,1.9531,29.3579,1,Walk
28792,-0.3867,-0.9365,0.1333,-4.2114,3.7842,31.1279,1,Walk
28812,-0.4082,-0.9355,0.1030,-4.5776,5.7373,32.4097,1,Walk
28832,-0.3862,-0.9194,0.0806,-2.0142,8.4839,34.6680,1,Walk
28852,-0.4453,-0.9072,0.1016,0.4883,10.6812,36.9873,1,Walk
28872,-0.4312,-0.9414,0.0796,2.6245,15.6250,37.5366,1,Walk
28892,-0.4272,-0.9585,0.0156,3.6621,16.7847,40.6494,1,Walk
28912,-0.4351,-0.9458,0.0645,3.3569,16.4795,42.6025,1,Walk
28932,-0.4639,-0.9404,0.1006,2.4414,16.8457,45.8984,1,Walk
28952,-0.4546,-1.0020,0.1074,0.4272,19.3481,51.6968,1,Walk
28972,-0.4941,-0.9253,0.1333,-0.1221,25.0854,54.8706,1,Walk
28992,-0.5542,-0.9683,0.1772,-3.2959,27.4048,56.7627,1,Walk
29012,-0.5317,-0.9966,0.1655,-8.6060,29.2969,53.6499,1,Walk
29032,-0.5249,-0.9902,0.1069,-9.5825,25.6958,53.8940,1,Walk
29052,-0.4585,-1.0435,-0.0820,-11.0474,22.8882,53.3447,1,Walk
29072,-0.4946,-1.0288,-0.1333,-14.0381,11.5356,51.8188,1,Walk
29092,-0.4800,-1.0317,-0.0835,-13.3057,7.1411,51.0254,1,Walk
29112,-0.4712,-1.1147,-0.0420,-10.9253,6.4087,54.3823,1,Walk
29132,-0.5078,-1.1025,-0.0278,-10.9253,3.3569,55.6641,1,Walk
29152,-0.5610,-1.0059,0.0171,-14.9536,-6.7749,58.2275,1,Walk
29172,-0.6221,-0.9175,0.0913,-22.8271,-19.8975,60.4248,1,Walk
29192,-0.5430,-0.8467,0.1675,-28.0762,-23.9258,59.0820,1,Walk
29212,-0.5518,-0.7793,0.2446,-28.8086,-30.8228,59.6313,1,Walk
29232,-0.5342,-0.6597,0.3398,-26.3062,-24.4141,53.3447,1,Walk
29252,-0.1870,-0.6001,0.3638,-15.3809,7.5073,26.0010,1,Walk
29272,0.0156,-0.5972,0.2607,-9.5215,44.7388,-1.5259,1,Walk
29292,0.1504,-0.6938,0.1284,-7.3242,82.3975,-30.2124,1,Walk
29312,0.3647,-0.7832,-0.0044,6.9580,112.9761,-52.4902,1,Walk
29332,0.1040,-0.7417,0.0469,12.6343,105.7739,-63.2935,1,Walk
29352,0.0361,-0.7764,0.0239,23.4985,98.3276,-88.5620,1,Walk
29372,0.0312,-0.8711,-0.0181,30.0903,76.6602,-108.0322,1,Walk
29392,0.0181,-0.9614,-0.0518,34.7290,45.7764,-122.4976,1,Walk
29412,-0.1191,-0.9941,-0.0317,39.3677,14.8315,-136.4136,1,Walk
29432,-0.1523,-1.0552,-0.0034,44.4336,-2.4414,-148.5596,1,Walk
29452,-0.1616,-1.0977,0.0034,46.7529,-16.6626,-154.4189,1,Walk
29472,-0.2158,-1.1367,0.0122,47.8516,-29.2358,-158.4473,1,Walk
29492,-0.2510,-1.1787,0.0229,48.4009,-37.2314,-162.9028,1,Walk
