timestamp_ms,ax,ay,az,gx,gy,gz,label,label_name
13640,0.3267,-0.9575,-0.4292,12.8784,-23.1934,-7.7515,6,Fall
13659,0.3804,-1.0361,-0.3931,14.6484,-29.7241,-9.1553,6,Fall
13679,0.3936,-1.1089,-0.3848,18.0054,-39.2456,-12.2681,6,Fall
13699,0.3564,-1.1709,-0.4121,20.6299,-46.6919,-18.9819,6,Fall
13719,0.3301,-1.2383,-0.4438,19.5313,-46.9360,-23.6206,6,Fall
13739,0.2935,-1.2705,-0.4492,17.4561,-44.6777,-27.4048,6,Fall
13759,0.3110,-1.2173,-0.3892,14.8315,-37.0483,-29.9683,6,Fall
13779,0.3218,-1.1768,-0.3691,15.8691,-37.7808,-31.0059,6,Fall
13799,0.3032,-1.1558,-0.4028,16.7236,-42.6025,-31.9824,6,Fall
13819,0.3032,-1.1167,-0.3940,17.7612,-37.4146,-30.3345,6,Fall
13839,0.3237,-1.0771,-0.3569,16.6626,-30.8838,-29.6021,6,Fall
13859,0.2944,-1.0054,-0.3306,17.0288,-30.3345,-26.5503,6,Fall
13879,0.2729,-0.9741,-0.3530,16.3574,-27.8931,-21.7896,6,Fall
13899,0.2837,-0.9443,-0.3608,12.4512,-22.3999,-16.3574,6,Fall
13919,0.3071,-0.8975,-0.3569,10.3149,-20.0195,-12.9395,6,Fall
13939,0.3140,-0.8569,-0.3242,10.8643,-16.6016,-8.8501,6,Fall
13959,0.3062,-0.8403,-0.3271,8.3008,-15.0757,-6.5918,6,Fall
13979,0.3184,-0.8154,-0.3364,7.6294,-22.3389,-3.3569,6,Fall
13999,0.2974,-0.8140,-0.3516,7.0190,-25.8789,-0.9766,6,Fall
14019,0.2891,-0.7949,-0.3647,5.7983,-19.9585,1.5259,6,Fall
14039,0.3057,-0.7705,-0.3647,4.7607,-12.2070,4.0283,6,Fall
14059,0.3149,-0.7793,-0.3540,6.2256,-9.3994,6.7139,6,Fall
14079,0.3223,-0.7773,-0.3389,6.9580,-7.8735,8.3618,6,Fall
14099,0.3345,-0.7573,-0.3325,8.1177,-7.9956,8.4839,6,Fall
14119,0.3530,-0.7534,-0.3286,10.3149,-15.8691,7.9956,6,Fall
14139,0.3555,-0.7593,-0.3320,13.3667,-25.1465,5.9814,6,Fall
14159,0.3687,-0.7891,-0.3486,16.4185,-33.2031,2.6855,6,Fall
14179,0.3628,-0.7920,-0.3682,16.2354,-39.0625,-2.2583,6,Fall
14199,0.3530,-0.7949,-0.3618,14.6484,-43.2129,-7.2021,6,Fall
14219,0.3345,-0.8125,-0.3481,13.6719,-47.3022,-11.4746,6,Fall
14239,0.3105,-0.7998,-0.3428,13.3667,-46.0815,-14.2212,6,Fall
14259,0.2793,-0.7837,-0.3706,12.5732,-42.2974,-15.8081,6,Fall
14279,0.2632,-0.7749,-0.3955,7.6904,-40.0391,-14.7705,6,Fall
14299,0.2261,-0.7422,-0.4126,3.2959,-34.9121,-10.3149,6,Fall
14319,0.2031,-0.7134,-0.3955,-3.6011,-24.2310,-7.4463,6,Fall
14339,0.1704,-0.6851,-0.4482,-10.7422,-14.3433,-2.2583,6,Fall
14359,0.1729,-0.6724,-0.4580,-20.7520,-6.0425,2.5635,6,Fall
14379,0.1753,-0.6841,-0.4697,-27.5879,0.3052,5.5542,6,Fall
14400,0.1465,-0.7432,-0.4644,-35.4614,17.5171,12.3901,6,Fall
14420,0.1807,-0.7827,-0.4482,-41.5039,46.3867,19.7144,6,Fall
14440,0.2651,-0.8159,-0.4707,-42.5415,63.9648,22.7051,6,Fall
14460,0.2607,-0.8223,-0.5127,-39.7339,64.6973,25.2075,6,Fall
14480,0.2466,-0.8657,-0.5293,-37.0483,84.0454,27.6489,6,Fall
14500,0.2480,-0.8555,-0.5933,-38.2080,95.5811,26.4282,6,Fall
14520,0.2783,-0.8247,-0.6157,-35.6445,92.1631,22.3389,6,Fall
14540,0.2847,-0.7783,-0.6143,-30.0903,85.1440,14.3433,6,Fall
14560,0.2783,-0.7310,-0.5659,-22.1558,65.6128,6.5918,6,Fall
14580,0.2764,-0.6924,-0.5278,-14.2212,43.8232,0.3052,6,Fall
14600,0.2549,-0.6621,-0.4961,-4.6387,24.2310,-3.7231,6,Fall
14620,0.2354,-0.6333,-0.5034,5.2490,23.0713,-4.0894,6,Fall
14640,0.2793,-0.6396,-0.5010,10.9863,16.4795,-7.0190,6,Fall
14660,0.2910,-0.6348,-0.5024,17.6392,-5.3711,-7.5073,6,Fall
14680,0.2578,-0.6416,-0.4834,23.7427,-14.8926,-6.5308,6,Fall
14700,0.2632,-0.6577,-0.4707,28.9307,-10.4370,-4.0283,6,Fall
14720,0.3022,-0.6748,-0.4844,32.8369,-10.3760,-4.8218,6,Fall
14740,0.3032,-0.6982,-0.4990,35.0342,-24.7192,-5.4321,6,Fall
14760,0.2773,-0.7119,-0.4819,34.4849,-29.6021,-4.3335,6,Fall
14780,0.2715,-0.7354,-0.4375,33.6304,-20.6909,-2.1973,6,Fall
14800,0.2754,-0.7808,-0.4072,35.9497,-8.2397,0.6714,6,Fall
14820,0.2773,-0.8232,-0.4033,38.8794,-0.1831,3.3569,6,Fall
14840,0.3086,-0.8618,-0.4185,41.2598,-0.6714,6.0425,6,Fall
14860,0.3374,-0.8755,-0.4482,41.3818,-10.8032,7.3242,6,Fall
14880,0.3447,-0.8721,-0.4600,39.4287,-18.2495,6.1035,6,Fall
14901,0.3442,-0.8613,-0.4521,34.5459,-23.7427,2.8076,6,Fall
14921,0.3584,-0.8481,-0.4258,28.8086,-33.4473,-1.5869,6,Fall
14941,0.3413,-0.8345,-0.3926,24.2920,-42.9687,-6.1646,6,Fall
14961,0.3140,-0.8320,-0.3672,20.6909,-41.1987,-8.6060,6,Fall
14981,0.3081,-0.8271,-0.3599,15.2588,-31.6162,-10.6812,6,Fall
15001,0.3130,-0.8267,-0.3530,13.0005,-24.2920,-12.0850,6,Fall
15021,0.3169,-0.8457,-0.3560,11.7798,-18.0664,-12.5122,6,Fall
