timestamp_ms,ax,ay,az,gx,gy,gz,label,label_name
15736,0.5356,0.1162,-0.9395,-66.1621,20.2026,73.8525,2,FastWalk
15756,0.5083,0.1572,-0.9336,-70.1904,-1.709,82.0923,2,FastWalk
15776,0.4907,0.1499,-0.8813,-68.2983,-11.2305,95.3979,2,FastWalk
15796,0.4868,0.1406,-0.8008,-61.4624,1.0986,105.7739,2,FastWalk
15817,0.5361,0.1714,-0.7217,-50.1099,19.165,115.5396,2,FastWalk
15836,0.7173,0.1147,-0.7896,-38.9404,29.4189,126.4648,2,FastWalk
15856,0.8979,0.1445,-0.8599,-31.4331,8.606,124.4507,2,FastWalk
15876,0.7974,0.1401,-0.8164,-18.2495,-9.3994,127.5635,2,FastWalk
15896,0.6494,0.1089,-0.6973,-0.6714,-7.6294,129.7607,2,FastWalk
15916,0.5308,0.0674,-0.5537,20.4468,17.0288,131.0425,2,FastWalk
15936,0.6523,-0.0439,-0.603,25.8179,34.1797,129.4556,2,FastWalk
15956,0.7134,-0.0527,-0.5669,37.4756,26.123,116.8823,2,FastWalk
15976,0.6343,-0.0527,-0.4624,50.9644,14.2822,108.7036,2,FastWalk
15996,0.5586,-0.0293,-0.3848,65.0024,13.2446,103.5767,2,FastWalk
16021,0.5557,-0.0571,-0.3721,82.0312,0.6104,99.4263,2,FastWalk
16040,0.5728,-0.1074,-0.457,90.5762,-27.3438,100.0977,2,FastWalk
16060,0.709,-0.2139,-0.5352,97.7173,-64.1479,93.811,2,FastWalk
16080,0.561,-0.2295,-0.499,106.9946,-82.8247,89.8437,2,FastWalk
16100,0.4473,-0.2451,-0.4346,117.4927,-94.9097,85.083,2,FastWalk
16120,0.4458,-0.3208,-0.4551,125.4272,-95.5811,82.7637,2,FastWalk
16140,0.6831,-0.4624,-0.6245,126.5869,-106.4453,88.501,2,FastWalk
16160,0.6807,-0.5449,-0.7026,127.0142,-127.6245,80.6274,2,FastWalk
16180,0.5103,-0.5493,-0.6519,126.5869,-129.2114,70.4346,2,FastWalk
16200,0.4395,-0.5937,-0.6079,123.291,-110.7178,58.2275,2,FastWalk
16220,0.3584,-0.6138,-0.6025,119.9341,-89.5386,51.3916,2,FastWalk
16240,0.2715,-0.6519,-0.6265,116.0889,-67.8101,55.9082,2,FastWalk
16260,0.2476,-0.7017,-0.6504,110.1074,-47.3022,64.7583,2,FastWalk
16280,0.2593,-0.7427,-0.6348,103.6987,-24.4751,73.9136,2,FastWalk
16300,0.2681,-0.8345,-0.6167,96.8018,-6.2866,83.6182,2,FastWalk
16320,0.2637,-0.9395,-0.6138,91.2476,6.3477,92.8955,2,FastWalk
16340,0.2251,-1.0728,-0.6079,86.1206,20.874,106.6895,2,FastWalk
16360,0.1821,-1.1807,-0.6045,80.0171,38.7573,117.3706,2,FastWalk
16380,0.1665,-1.2563,-0.5894,76.4771,58.1665,121.3989,2,FastWalk
16400,0.1621,-1.4409,-0.605,78.6133,82.6416,125.7324,2,FastWalk
16420,0.1436,-1.6128,-0.6479,79.5288,101.5625,125.9155,2,FastWalk
16440,0.186,-1.6504,-0.667,77.1484,120.1782,119.5068,2,FastWalk
16460,0.252,-1.4482,-0.6431,65.8569,138.0005,97.7173,2,FastWalk
16480,0.3101,-1.1079,-0.5889,55.3589,150.2686,59.8145,2,FastWalk
16500,0.3306,-0.9033,-0.6221,47.2412,134.3994,22.7051,2,FastWalk
16522,0.2686,-0.7744,-0.6626,33.6304,75.4395,-26.001,2,FastWalk
16543,0.2109,-0.833,-0.6675,21.3013,35.0342,-47.4243,2,FastWalk
16562,0.1865,-0.9722,-0.626,3.2349,10.8643,-58.7158,2,FastWalk
