timestamp_ms,ax,ay,az,gx,gy,gz,label,label_name
0,0.7852,0.5024,-0.6582,4.5166,-29.2358,-9.3994,8,Seizure
1,1.0098,0.6084,-0.6973,7.1411,-32.5317,-23.4375,8,Seizure
2,1.1401,0.6777,-0.75,7.5684,-47.4854,-46.6309,8,Seizure
3,0.9712,0.7197,-0.6348,3.2959,-39.856,-61.7676,8,Seizure
4,1.0938,0.9502,-0.4458,9.3994,18.0664,-88.2568,8,Seizure
5,1.0264,1.127,-0.3638,25.5127,60.6689,-125.4272,8,Seizure
6,0.9048,1.0078,-0.2373,42.4194,106.2012,-159.5459,8,Seizure
7,0.7676,0.9888,-0.0288,69.397,175.7812,-178.894,8,Seizure
8,0.9746,1.0923,0.0039,102.7222,247.8638,-174.0112,8,Seizure
9,1.0708,0.7354,-0.1621,150.5737,128.479,-164.6729,8,Seizure
10,0.9902,0.749,-0.3428,161.6211,83.4351,-178.772,8,Seizure
11,0.9609,0.6587,-0.4741,170.8984,59.1431,-178.5278,8,Seizure
12,0.6812,0.4536,-0.5679,165.1611,21.9727,-174.0112,8,Seizure
13,0.4287,0.3447,-0.478,151.6724,15.3809,-158.3862,8,Seizure
14,0.6055,0.3174,-0.4478,146.5454,56.4575,-144.165,8,Seizure
15,0.6626,0.1968,-0.4463,145.5078,39.978,-123.5352,8,Seizure
16,0.479,-0.0283,-0.4326,146.6064,-19.5313,-96.6797,8,Seizure
17,0.2681,-0.1733,-0.4868,142.6392,-33.2031,-75.1953,8,Seizure
18,0.3521,-0.2148,-0.6055,133.8501,-61.5845,-46.875,8,Seizure
19,0.2261,-0.1909,-0.6675,130.0659,-114.2578,-40.1001,8,Seizure
20,-0.0317,-0.2461,-0.7632,132.019,-68.1763,-30.8228,8,Seizure
21,0.0952,-0.3311,-0.981,120.4834,-1.9531,-12.7563,8,Seizure
22,0.4741,-0.3945,-1.1187,96.4355,-41.626,-10.437,8,Seizure
23,0.2002,-0.3618,-1.0171,78.2471,-103.5767,-16.5405,8,Seizure
24,0.0317,-0.4219,-0.8979,68.8477,-59.5093,-12.207,8,Seizure
25,0.0649,-0.3657,-0.9663,60.5469,15.0146,-9.7046,8,Seizure
26,0.1641,-0.2729,-1.041,47.9736,29.0527,-14.6484,8,Seizure
27,0.1719,-0.2515,-0.9756,40.5884,21.8506,-18.0664,8,Seizure
28,0.166,-0.1611,-0.9697,35.8276,32.7759,-17.395,8,Seizure
29,0.1553,-0.0952,-1.0308,33.3252,45.8374,-22.8271,8,Seizure
30,0.1523,-0.0771,-1.0317,31.0059,58.7769,-24.292,8,Seizure
31,0.2881,-0.0889,-1.0898,23.5596,65.918,-24.9634,8,Seizure
32,0.3413,-0.043,-1.0356,17.0288,39.6729,-24.5972,8,Seizure
33,0.3115,0.002,-0.959,14.0381,27.0996,-22.3389,8,Seizure
34,0.3149,0.0088,-0.9541,17.5171,24.1699,-14.8926,8,Seizure
35,0.3081,-0.0029,-1.0186,21.9727,25.3906,-15.0146,8,Seizure
36,0.3369,-0.0068,-1.0361,20.5078,33.0811,-12.2681,8,Seizure
37,0.4224,-0.0747,-0.9678,19.165,41.5039,-10.0708,8,Seizure
38,0.5049,-0.0664,-0.9619,17.5171,26.4893,-16.1133,8,Seizure
39,0.4619,-0.0391,-1.0166,15.1978,-7.6294,-21.1792,8,Seizure
40,0.3569,-0.0454,-0.9814,13.0005,-21.7896,-26.062,8,Seizure
41,0.3447,-0.0098,-1.0068,11.2305,-13.7939,-27.8931,8,Seizure
42,0.3418,0.0127,-1.063,10.376,-17.5781,-31.8604,8,Seizure
43,0.4448,-0.0288,-1.0513,3.1738,-24.5972,-31.4331,8,Seizure
44,0.5039,-0.0127,-1.0693,-5.249,-53.5278,-40.2832,8,Seizure
45,0.3066,0.0342,-1.126,-13.916,-72.3877,-41.0767,8,Seizure
46,0.2227,0.0742,-1.0649,-22.8271,-48.1567,-42.6636,8,Seizure
47,0.2544,0.1641,-0.9854,-24.6582,-17.395,-36.1328,8,Seizure
48,0.2979,0.3179,-0.9214,-19.4702,17.0288,-13.3667,8,Seizure
49,0.4595,0.2183,-0.9727,-23.4375,31.189,-6.2256,8,Seizure
50,0.4819,0.1455,-0.9746,-19.3481,-9.5215,-8.9722,8,Seizure
51,0.3096,0.0981,-1.1045,-18.4937,-34.3628,-8.606,8,Seizure
52,0.1455,0.0815,-1.1445,-25.5737,-35.1563,-8.4839,8,Seizure
53,0.0425,0.127,-1.0195,-31.1279,-4.8218,-0.6714,8,Seizure
