timestamp_ms,ax,ay,az,gx,gy,gz,label,label_name
34398,0.2373,-0.1665,-0.9829,-3.2349,-19.0430,0.6104,3,Sit
34418,0.1768,-0.1357,-1.0503,-8.7280,-39.3066,-7.9956,3,Sit
34440,0.1416,-0.1440,-1.0039,-4.9438,-18.6768,-6.8970,3,Sit
34460,0.0957,-0.1177,-0.9868,-3.7842,-2.5635,-7.3242,3,Sit
34480,0.1328,-0.1343,-0.9907,-0.1831,12.6343,-11.4746,3,Sit
34500,0.1655,-0.1309,-0.9927,0.6104,14.5874,-16.2354,3,Sit
34520,0.1782,-0.1362,-0.9414,2.7466,14.0991,-20.0806,3,Sit
34540,0.1484,-0.1318,-0.9341,6.7139,20.3857,-23.5596,3,Sit
34560,0.1851,-0.1499,-0.9893,10.0098,28.6255,-31.5552,3,Sit
34580,0.2397,-0.1538,-1.0059,13.1836,37.0483,-39.7949,3,Sit
34600,0.2769,-0.1587,-0.9692,16.7236,41.8701,-44.8608,3,Sit
34620,0.2383,-0.1475,-0.9312,18.7988,44.3726,-43.8843,3,Sit
34640,0.1958,-0.1353,-0.9175,17.7002,36.0718,-45.3491,3,Sit
34660,0.2393,-0.1377,-0.9102,17.1509,30.8228,-48.6450,3,Sit
34680,0.2617,-0.1133,-0.9053,17.3950,23.3765,-49.8657,3,Sit
34700,0.2642,-0.1079,-0.9014,19.4092,14.0991,-48.5229,3,Sit
34720,0.1992,-0.1050,-0.9531,18.6157,4.3335,-43.2129,3,Sit
34740,0.1880,-0.1362,-0.9434,20.0195,-9.7656,-45.3491,3,Sit
34760,0.1929,-0.1333,-0.9541,10.8032,-10.8643,-39.9170,3,Sit
34780,0.1724,-0.0908,-1.0054,7.3853,-18.4326,-33.7524,3,Sit
34800,0.1104,-0.0864,-1.0103,8.4839,-20.7520,-30.0293,3,Sit
34820,0.1313,-0.1250,-0.9873,6.8359,-16.0522,-25.8789,3,Sit
34840,0.1709,-0.1255,-0.9927,2.0752,-17.5171,-21.7896,3,Sit
34860,0.1470,-0.1152,-1.0122,-1.7700,-28.5034,-16.9067,3,Sit
34880,0.0869,-0.1216,-1.0303,-2.3804,-33.2031,-13.0615,3,Sit
34900,0.1138,-0.1348,-1.0029,-1.9531,-30.7007,-11.7188,3,Sit
34920,0.1182,-0.1367,-0.9556,0.0610,-26.6113,-7.2632,3,Sit
34941,0.1084,-0.1333,-0.9365,0.9766,-20.2026,-1.1597,3,Sit
34961,0.1187,-0.1431,-0.9570,2.8687,-14.0991,3.8452,3,Sit
34981,0.0674,-0.1128,-0.9688,1.4038,-13.2446,6.2866,3,Sit
35001,0.1567,-0.1758,-1.0156,4.6997,-0.3662,3.1738,3,Sit
35021,0.2129,-0.1538,-1.0205,1.4038,6.2256,2.2583,3,Sit
35041,0.2046,-0.1616,-1.0010,-0.1831,-1.7090,1.5259,3,Sit
35061,0.1909,-0.1758,-0.9819,-3.4180,-3.6621,-1.5259,3,Sit
35081,0.1538,-0.1494,-0.9897,-4.9438,-5.5542,-0.4272,3,Sit
35101,0.1479,-0.1602,-0.9810,-4.6387,-7.3242,0.7324,3,Sit
35121,0.1260,-0.1528,-0.9712,-3.1738,-5.2490,2.6245,3,Sit
35141,0.1201,-0.1465,-0.9590,-0.7935,1.8921,3.7231,3,Sit
35161,0.1265,-0.1523,-0.9551,0.2441,3.9673,4.9438,3,Sit
35181,0.1313,-0.1436,-0.9526,0.0000,1.5869,3.2349,3,Sit
35201,0.1997,-0.1592,-0.9995,-3.4180,-6.1035,0.0610,3,Sit
35221,0.1636,-0.1328,-0.9941,-4.0283,-13.4277,-0.6104,3,Sit
35241,0.1382,-0.1450,-0.9771,-3.9673,-9.3994,-0.1831,3,Sit
35261,0.1309,-0.1299,-0.9556,-4.1504,-3.0518,0.5493,3,Sit
35281,0.1284,-0.1250,-0.9229,-2.5024,-1.7700,1.4038,3,Sit
35301,0.1162,-0.1343,-0.9067,-1.7700,-1.7700,1.0376,3,Sit
35321,0.1191,-0.1289,-0.9546,-0.6714,-2.5024,2.8687,3,Sit
35341,0.1240,-0.1392,-1.0063,-0.1831,0.0000,5.0049,3,Sit
35361,0.1372,-0.1406,-1.0029,-0.7935,2.9907,6.7749,3,Sit
35381,0.1284,-0.1289,-0.9570,-0.1831,4.2114,9.3994,3,Sit
35401,0.1450,-0.1367,-0.9692,-1.0376,2.1362,9.3994,3,Sit
35421,0.1553,-0.1362,-0.9873,-2.6245,-1.8921,9.5825,3,Sit
35442,0.1519,-0.1416,-0.9971,-4.3945,-6.6528,10.4980,3,Sit
35462,0.1377,-0.1401,-1.0098,-6.2256,-8.3618,11.5356,3,Sit
35482,0.1396,-0.1504,-1.0068,-8.5449,-11.8408,11.7798,3,Sit
35502,0.1318,-0.1514,-0.9956,-8.9111,-11.5967,12.9395,3,Sit
35522,0.1299,-0.1504,-0.9897,-8.3008,-8.1177,15.7471,3,Sit
35542,0.1250,-0.1499,-0.9849,-8.9722,-8.0566,17.2119,3,Sit
35562,0.1035,-0.1411,-0.9688,-10.7422,-10.8643,18.4326,3,Sit
35582,0.0850,-0.1392,-0.9546,-10.4980,-13.3667,20.3857,3,Sit
35602,0.0723,-0.1348,-0.9346,-8.4229,-14.5874,20.9351,3,Sit
35622,0.0571,-0.1548,-0.9482,-5.4932,-12.8784,21.8506,3,Sit
35642,0.0737,-0.1489,-0.9463,-4.2114,-10.9253,21.1792,3,Sit
35662,0.0967,-0.1304,-0.9551,-4.6387,-14.5874,22.2168,3,Sit
35682,0.0791,-0.1006,-0.9736,-6.0425,-22.5220,22.5220,3,Sit
35702,0.0244,-0.0747,-0.9673,-2.8687,-22.5220,24.4751,3,Sit
35722,0.0146,-0.0723,-0.9556,-0.3052,-14.5264,26.0620,3,Sit
35742,0.0146,-0.0610,-0.9741,0.3662,-10.9863,28.4424,3,Sit
35762,-0.0073,-0.0566,-0.9824,2.0142,-6.3477,30.0903,3,Sit
35782,0.0039,-0.0527,-0.9766,3.0518,-0.3052,30.2734,3,Sit
35802,0.0225,-0.0542,-0.9629,4.2725,0.4883,29.8462,3,Sit
35822,0.0562,-0.0811,-0.9360,5.7373,-2.3193,27.7710,3,Sit
35842,0.0796,-0.0845,-0.9326,6.2256,-6.0425,25.8789,3,Sit
35862,0.0776,-0.0981,-0.9731,5.6152,-13.1836,24.8413,3,Sit
35882,0.0156,-0.1162,-1.0024,4.3945,-24.1089,23.8037,3,Sit
35902,-0.0352,-0.1270,-0.9658,4.1504,-22.7051,23.9258,3,Sit
35922,-0.0283,-0.1201,-0.9780,4.6997,-12.9395,22.7051,3,Sit
35943,0.0127,-0.1035,-1.0073,4.0894,-7.8735,20.9961,3,Sit
