timestamp_ms,ax,ay,az,gx,gy,gz,label,label_name
221673,0.2256,-1.0264,-0.3281,-8.0566,-16.9067,-36.3159,0,Stand
221692,0.2954,-1.0532,-0.3076,-6.7749,-9.0942,-47.5464,0,Stand
221712,0.3281,-1.0713,-0.3086,-1.0986,9.0942,-61.0962,0,Stand
221732,0.3506,-1.0752,-0.3564,0.7935,9.2163,-74.3408,0,Stand
221752,0.3350,-1.0776,-0.3916,-0.4883,-3.4180,-89.7217,0,Stand
221772,0.3418,-1.0854,-0.3374,-0.3662,-1.0376,-101.7456,0,Stand
221792,0.3857,-1.0957,-0.2803,2.3193,9.6436,-110.4126,0,Stand
221812,0.4839,-1.1157,-0.2192,6.8359,13.2446,-121.9482,0,Stand
221832,0.5356,-1.1138,-0.2144,9.8877,0.3662,-132.9346,0,Stand
221852,0.5298,-1.1147,-0.2231,12.2070,-7.8125,-140.9302,0,Stand
221872,0.5220,-1.0830,-0.2534,15.3198,3.5400,-146.9116,0,Stand
221892,0.5381,-0.9858,-0.2671,17.9443,10.8032,-148.4985,0,Stand
221912,0.5342,-0.9233,-0.2856,19.7754,15.9302,-146.6064,0,Stand
221932,0.5352,-0.8765,-0.3086,21.4233,27.4048,-143.0664,0,Stand
221952,0.5190,-0.7871,-0.2915,23.8647,41.3208,-137.5732,0,Stand
221972,0.5396,-0.7207,-0.2769,26.3062,59.4482,-128.6011,0,Stand
221992,0.6089,-0.6870,-0.2529,26.8555,58.4106,-120.7886,0,Stand
222012,0.5776,-0.6392,-0.2324,26.0010,51.8799,-112.6709,0,Stand
222032,0.5532,-0.5601,-0.2046,24.8413,44.9829,-101.7456,0,Stand
222052,0.5327,-0.5317,-0.1909,26.9775,64.6973,-89.5996,0,Stand
222072,0.6157,-0.5308,-0.1875,25.2686,61.4014,-80.0781,0,Stand
222092,0.6006,-0.4854,-0.1724,20.8740,47.4243,-69.7632,0,Stand
222112,0.6250,-0.4521,-0.1699,17.6392,45.5933,-59.9365,0,Stand
222132,0.5957,-0.4302,-0.1636,16.9678,56.2134,-50.3540,0,Stand
222152,0.6650,-0.4199,-0.1558,12.6343,56.3965,-40.8936,0,Stand
222172,0.7563,-0.4380,-0.1372,7.5073,43.1519,-35.2783,0,Stand
222192,0.7251,-0.4331,-0.1196,2.8687,34.3628,-30.1514,0,Stand
222212,0.7402,-0.4004,-0.0957,-0.1221,34.4238,-25.3296,0,Stand
222232,0.8105,-0.4121,-0.0894,-1.3428,41.1987,-21.9727,0,Stand
222252,0.8623,-0.4351,-0.0732,-2.6855,40.8325,-19.5923,0,Stand
222272,0.8867,-0.4414,-0.0854,-6.2256,31.9214,-19.4092,0,Stand
222292,0.8252,-0.4175,-0.0913,-7.9956,33.3252,-18.7988,0,Stand
222312,0.8511,-0.4199,-0.0854,-7.9956,44.2505,-18.9209,0,Stand
222332,0.9038,-0.4116,-0.0742,-8.9722,41.9312,-20.0195,0,Stand
222352,0.8247,-0.4111,-0.0981,-11.7188,33.5083,-17.1509,0,Stand
222373,0.8232,-0.4185,-0.0752,-15.5029,38.3301,-14.6484,0,Stand
222392,0.8169,-0.3892,-0.0576,-18.0054,40.4053,-11.3525,0,Stand
222412,0.8696,-0.4014,-0.0312,-19.2871,46.1426,-9.1553,0,Stand
222432,0.9033,-0.3877,-0.0059,-22.8271,33.8135,-8.0566,0,Stand
222452,0.8525,-0.3691,0.0054,-26.0620,17.3950,-6.3477,0,Stand
222472,0.8540,-0.3760,0.0137,-27.5269,15.2588,-3.6621,0,Stand
222492,0.9028,-0.4106,0.0415,-31.1279,17.7612,-2.3193,0,Stand
222512,0.8828,-0.3721,0.0352,-28.1372,12.6343,-0.4272,0,Stand
222532,0.8682,-0.3857,0.0498,-26.5503,10.4980,0.4272,0,Stand
222552,0.8574,-0.3872,0.0303,-24.4141,10.1929,0.2441,0,Stand
222572,0.8721,-0.4023,0.0239,-21.3623,17.1509,-0.6104,0,Stand
222592,0.8799,-0.3765,0.0098,-18.6768,24.5972,-1.0986,0,Stand
222612,0.8794,-0.3618,0.0186,-15.9912,30.0293,-1.0986,0,Stand
222632,0.8799,-0.3599,0.0244,-13.1836,35.0342,-1.0986,0,Stand
222652,0.8857,-0.3579,0.0225,-10.6201,34.9121,-0.4272,0,Stand
222672,0.9087,-0.3462,0.0200,-8.9722,31.4331,0.4272,0,Stand
222692,0.9385,-0.3340,0.0127,-6.5308,29.6021,1.7700,0,Stand
222712,0.9819,-0.3462,0.0215,-2.8687,34.9731,2.6855,0,Stand
222732,0.9897,-0.3550,0.0127,0.0610,39.2456,1.8311,0,Stand
222752,1.0264,-0.3550,0.0156,3.4180,39.9780,-0.4883,0,Stand
222772,1.0161,-0.3516,0.0278,6.1646,32.8369,-3.6621,0,Stand
222792,0.9985,-0.3604,0.0303,5.3711,12.8784,-4.5776,0,Stand
222812,0.9658,-0.3618,0.0337,3.8452,-5.0659,-6.1646,0,Stand
222832,0.9277,-0.3896,-0.0093,3.4180,-8.5449,-5.7373,0,Stand
222852,0.8867,-0.3975,-0.0259,1.0376,-8.2397,-5.3101,0,Stand
222872,0.9160,-0.4229,0.0112,1.1597,-0.3662,-5.5542,0,Stand
222892,0.9146,-0.4072,0.0439,-0.0610,-7.8125,-5.8594,0,Stand
222912,0.8618,-0.3921,0.0337,-2.0142,-20.2637,-6.6528,0,Stand
222932,0.7900,-0.3740,-0.0044,-3.2349,-26.0620,-3.7842,0,Stand
222952,0.8105,-0.3804,-0.0166,-4.2114,-23.4985,-1.2207,0,Stand
222972,0.8018,-0.3735,-0.0225,-7.3853,-26.6113,4.7607,0,Stand
222992,0.8359,-0.4126,-0.0518,-15.5640,-39.3066,11.6577,0,Stand
223012,0.8018,-0.4316,-0.0752,-27.2217,-61.4014,16.7847,0,Stand
223036,0.7695,-0.4512,-0.0942,-37.9028,-75.1953,23.8647,0,Stand
223055,0.7231,-0.4326,-0.0884,-45.6543,-84.7778,30.3955,0,Stand
223075,0.7046,-0.4292,-0.0942,-48.9502,-78.4302,37.7808,0,Stand
223095,0.6470,-0.4316,-0.1128,-47.6685,-59.4482,46.7529,0,Stand
223115,0.7783,-0.4893,-0.1450,-52.7344,-60.7300,52.7344,0,Stand
223135,0.7124,-0.4766,-0.1572,-58.0444,-87.7686,61.1572,0,Stand
223155,0.6631,-0.5254,-0.1719,-56.0303,-91.3696,69.5801,0,Stand
223176,0.6968,-0.5527,-0.1914,-51.8188,-80.7495,77.4536,0,Stand
223195,0.7012,-0.5527,-0.2075,-45.2271,-80.8105,84.4727,0,Stand
223215,0.6982,-0.5737,-0.2246,-37.9028,-77.5146,90.0269,0,Stand
223235,0.7305,-0.6157,-0.2495,-29.1748,-72.5098,94.2993,0,Stand
223255,0.6616,-0.6309,-0.2656,-17.8833,-65.0024,97.7783,0,Stand
223275,0.6567,-0.6577,-0.2847,-10.8032,-53.4668,100.3418,0,Stand
223295,0.6758,-0.6992,-0.3027,-4.2114,-47.6074,100.3418,0,Stand
223315,0.6460,-0.7056,-0.2925,2.7466,-38.3301,101.3794,0,Stand
223335,0.6538,-0.7256,-0.3018,7.0801,-28.6865,100.9521,0,Stand
223355,0.6045,-0.7437,-0.3057,12.2070,-19.3481,102.7832,0,Stand
223375,0.5952,-0.8154,-0.3428,14.4043,-11.2915,103.6987,0,Stand
223395,0.5464,-0.8462,-0.3423,15.5640,-3.7231,103.8818,0,Stand
223417,0.5205,-0.8628,-0.3208,15.9912,9.6436,103.8208,0,Stand
223436,0.4971,-0.8809,-0.2925,16.7847,18.6157,103.5156,0,Stand
223456,0.4902,-0.9126,-0.2773,16.7847,20.6909,101.2573,0,Stand
223476,0.4712,-0.9292,-0.2778,16.5405,20.5688,98.5718,0,Stand
223496,0.4644,-0.9424,-0.2876,14.8926,14.4043,92.9565,0,Stand
223516,0.4341,-0.9565,-0.2905,12.8784,4.6997,86.4868,0,Stand
223536,0.4219,-0.9668,-0.2920,11.0474,-2.3193,79.1626,0,Stand
223556,0.3989,-0.9727,-0.2896,10.3149,-5.6763,69.4580,0,Stand
223576,0.3779,-0.9824,-0.2827,10.5591,-2.1362,59.6313,0,Stand
223596,0.3682,-0.9932,-0.2832,11.1084,4.3335,50.8423,0,Stand
223616,0.3608,-0.9980,-0.2808,11.8408,12.6953,40.5884,0,Stand
223636,0.3574,-0.9990,-0.2749,12.4512,19.8975,30.5176,0,Stand
223656,0.3560,-1.0034,-0.2837,12.3291,24.1699,22.5830,0,Stand
223676,0.3574,-1.0044,-0.2881,11.7188,26.9165,14.5264,0,Stand
223696,0.3579,-1.0044,-0.2905,10.5591,28.5645,7.3853,0,Stand
223716,0.3623,-1.0024,-0.2944,8.8501,29.2969,2.3804,0,Stand
223736,0.3633,-0.9883,-0.2949,6.1035,23.5596,-2.6855,0,Stand
223756,0.3511,-0.9727,-0.3008,3.2959,16.8457,-6.8970,0,Stand
223776,0.3271,-0.9424,-0.2964,1.7700,12.5732,-9.8267,0,Stand
223796,0.3125,-0.9155,-0.2881,1.2207,12.3291,-12.6953,0,Stand
223816,0.3062,-0.8901,-0.2842,1.2207,13.0615,-14.5264,0,Stand
223836,0.3003,-0.8809,-0.2847,1.4038,12.3291,-15.7471,0,Stand
223856,0.2964,-0.8682,-0.2793,1.2207,10.6812,-16.6016,0,Stand
223876,0.2939,-0.8677,-0.2759,0.9155,8.8501,-16.8457,0,Stand
223896,0.2905,-0.8677,-0.2749,0.3662,7.8125,-16.6016,0,Stand
223916,0.2930,-0.8789,-0.2734,-0.4272,7.3242,-15.7471,0,Stand
223936,0.2866,-0.8823,-0.2656,-1.4038,8.4229,-14.5874,0,Stand
223956,0.2866,-0.8892,-0.2656,-2.0142,9.3994,-13.6108,0,Stand
223976,0.2856,-0.8896,-0.2637,-2.6245,10.7422,-12.5122,0,Stand
223996,0.2866,-0.8896,-0.2568,-2.5635,12.3901,-11.5356,0,Stand
224016,0.2915,-0.8887,-0.2539,-2.6855,13.4888,-10.8032,0,Stand
224036,0.2974,-0.8896,-0.2456,-2.3804,14.0381,-10.0708,0,Stand
224056,0.3013,-0.9004,-0.2559,-2.1362,13.3667,-9.2773,0,Stand
224076,0.3052,-0.9102,-0.2583,-2.3193,11.5967,-8.4839,0,Stand
224096,0.3027,-0.9165,-0.2583,-2.3804,9.5215,-7.3242,0,Stand
224116,0.3047,-0.9199,-0.2578,-2.0752,8.7280,-5.9814,0,Stand
224136,0.3027,-0.9253,-0.2559,-1.6479,8.2397,-4.6387,0,Stand
224156,0.3086,-0.9307,-0.2598,-0.9155,7.1411,-3.1128,0,Stand
224176,0.3140,-0.9316,-0.2563,0.0610,5.8594,-1.3428,0,Stand
224196,0.3169,-0.9326,-0.2583,0.8545,4.1504,0.0000,0,Stand
224217,0.3228,-0.9204,-0.2578,1.5869,1.0376,1.1597,0,Stand
224236,0.3291,-0.9092,-0.2578,2.6245,-2.2583,1.8921,0,Stand
224256,0.3335,-0.9053,-0.2559,3.0518,-5.1270,2.0142,0,Stand
224276,0.3384,-0.8945,-0.2612,3.3569,-8.9111,1.9531,0,Stand
224297,0.3354,-0.8872,-0.2646,3.4180,-12.2070,1.7090,0,Stand
224317,0.3394,-0.8809,-0.2637,3.1128,-14.0991,1.1597,0,Stand
224336,0.3398,-0.8779,-0.2568,2.5635,-15.3809,0.1831,0,Stand
224356,0.3403,-0.8774,-0.2559,1.5259,-16.7847,-0.4883,0,Stand
224376,0.3398,-0.8906,-0.2593,0.8545,-17.0288,-0.9155,0,Stand
